factor,label,exp1_score,rank_icir,rank_ic_mean,ret_diff,win_diff,monotonicity,rank_ic_positive_ratio
turnover,s,4.690751787783208,7.960508342391982,0.0440619582568739,0.0047188895,0.0616025764306162,ascending,0.6164948453608248
ex_ret_ma1,s,4.53173535016774,9.026385428128885,0.0495315225102986,0.0021851845,0.0477732101166947,u_shape,0.6452947259565668
cora1_ma3,s,4.463313351832917,7.394514165590315,0.0360345452955036,0.005707833,0.0613505456216769,ascending,0.5826446280991736
vwap_twap_ma2,b,4.32457860007288,8.060926762768322,0.0394204914851042,0.002555515,0.0139442613922612,inverted_u,0.5971074380165289
cora_ma20,s,4.3084966699763605,7.353300484327123,0.0378271503494499,0.00451891,0.0565965964181103,ascending,0.6033057851239669
cora1_ma20,s,4.274158933541168,7.3081592682283665,0.0384399890445073,0.0046576904,0.0456199515644236,weak_ascending,0.59400826446281
amt_r_1000_ma2,s,4.169046747569205,7.73092388381365,0.0373461433058136,0.0034962276,0.0290518439131604,weak_ascending,0.6033057851239669
ret_std_up_ma20,s,4.135185462559841,8.326628971499007,0.0433456414670941,0.002722859,0.0095502620562259,ascending,0.6169527896995708
vwat_ma1,b,4.09413939122784,7.619137905572174,0.0373002974914654,0.003009519,0.0313231550194159,inverted_u,0.6028955532574974
cora1_ma2,s,3.991812897928284,6.657098014282045,0.0318766321222926,0.0046011503,0.0493955299266858,ascending,0.59400826446281
corr_mean2_ma60,s,3.957591124732725,6.595174566878966,0.0352740597705102,0.0040474567,0.049889073328129,weak_ascending,0.5832471561530508
cora_ma3,s,3.9113262955077577,6.369598857218471,0.0327915353148307,0.0048167678,0.0649162800204146,ascending,0.5836776859504134
vwap_twap_ma3,b,3.905662437981448,7.306957239845,0.0345446726804769,0.0026576393,0.0084212183235913,inverted_u,0.5888429752066116
copa_ma1,b,3.901911487011125,7.471604424085114,0.0382229004105128,0.0017395811,0.0011732622294977,inverted_u,0.5910138248847926
ret_std_ma1,s,3.826946178970924,7.405217595246594,0.0404148726084355,0.0010950577,0.0489266545739263,u_shape,0.6028955532574976
amt_r_1000_ma1,s,3.763283507774545,6.891937267878755,0.033660374579618,0.0036483798,0.0269410334657647,weak_ascending,0.6008273009307137
amt_r_1000_ma3,s,3.5950180595183254,6.781320941225276,0.0321799276758927,0.0016874457,0.0175856983743183,weak_ascending,0.597107438016529
vwap_ret_ma60,s,3.5715724798299453,6.645368363813131,0.0331603220333053,0.00206146,0.0377192911454097,u_shape,0.5888429752066116
ex_ret_ma5,s,3.5693687327458123,7.516365757434891,0.0438106427134693,0.0031562252,0.0460389600842487,weak_ascending,0.6074380165289256
amt_skew_ma1,s,3.5377663118480247,5.91416109649156,0.0281332410755819,0.003554088,0.0422287248201506,ascending,0.5884177869700105
ret_kurt_ma2,s,3.5303159527100862,6.688521628154949,0.0337020953553127,0.0001475627,0.0305184788207164,u_shape,0.5795454545454546
cora_ma2,s,3.5297514512325407,5.750083605752695,0.0285924239934428,0.003633896,0.0530309891027382,ascending,0.5619834710743802
ret_skew_ma10,s,3.442174543977113,6.63636635406712,0.0321888416429761,0.0017970745,0.0434521732897824,u_shape,0.5857438016528926
ret_std_up_ma1,s,3.412559657814243,5.350604525263798,0.0787343741979711,0.007160732,0.091972649143586,ascending,0.6647058823529413
r_925_1500_ma5,s,3.401316395998617,6.436780287174102,0.036012541081553,0.0049005323,0.0594626195815367,weak_ascending,0.5929752066115703
r_925_1500_ma1,s,3.3785040147406757,6.072894269387226,0.0334990949576445,0.0029530055,0.0393915014651968,ascending,0.5822130299896588
amt_peak_ma1,b,3.357235456211387,5.529635573102291,0.0267481755759642,0.003498956,0.056256736762229,ascending,0.578076525336091
vwap_twap_ma5,b,3.3317318356625365,6.225499591353231,0.0288304300144605,0.0023262452,0.0049957057553201,inverted_u,0.6022727272727273
ret_skew_ma5,s,3.327003749920701,6.239216552138177,0.0309676352506153,0.0019067415,0.0479272184962682,weak_ascending,0.5919421487603306
ret_skew_ma20,s,3.304264342724575,6.428470452087364,0.0314629836654643,0.0024393634,0.0411446326399195,u_shape,0.6053719008264463
vwat_ma2,b,3.3042528341822273,6.2844049355524,0.03025096209752,0.0019286771,0.024889883241278,inverted_u,0.5929752066115702
ret_kurt_ma3,s,3.2701217021003033,6.368190392146042,0.0312944438984106,-0.0003289315,0.0214297893341003,u_shape,0.59400826446281
range_ma2,s,3.259151897062057,5.882779820267396,0.0281253157384777,0.0006951089,0.0121314465090082,u_shape,0.5723140495867769
ret_kurt_ma1,s,3.2553150676206917,5.844534287105942,0.0288971573768255,0.0006508222,0.0365821721258234,weak_ascending,0.5708376421923476
ret_kurt_ma5,s,3.2423569637808383,6.484507141990892,0.0315547584733192,-0.00052192016,0.012690437356034,u_shape,0.5878099173553719
ret_std_down_ma2,s,3.215398966897988,5.557958682830527,0.0421330101103964,0.004209266,0.0329960275216792,ascending,0.5929752066115703
amt_peak_ma2,b,3.2124215187824507,5.713097683192511,0.0273596729061126,0.0022694755,0.0474209952272162,none,0.5681818181818182
r_1445_1500_ma3,s,3.188598597204221,4.970365625807958,0.0221932119477729,0.0049659964,0.0359721881378118,weak_ascending,0.5681818181818181
amt_r_1430_ma1,b,3.1839038286588806,5.569685663172952,0.0261060398735522,0.0011444831,0.0169043637138449,inverted_u,0.5801447776628749
cora_ma60,s,3.144487505096635,5.390186366016224,0.028567310058054,0.0028764834,0.0412155402700987,ascending,0.5743801652892562
