factor,valid_count,valid_ratio,data_quality,ic_mean,ic_std,ic_ir,ic_t_stat,ic_p_value,ic_count,rankic_mean,rankic_std,rankic_ir,rankic_t_stat,rankic_p_value,rankic_count,ic_positive_ratio,ic_negative_ratio,ic_abs_mean,ic_volatility,monthly_ic_std,rankic_positive_ratio,rankic_negative_ratio,rankic_abs_mean,rankic_volatility,long_short_ret,long_short_win,ls_t_stat,ls_p_value,monotonicity,mono_strength,g0_ret,g0_win,g0_count,g1_ret,g1_win,g1_count,g2_ret,g2_win,g2_count,g3_ret,g3_win,g3_count,g4_ret,g4_win,g4_count,decile_mono,decile_mono_strength,top_decile_ret,bottom_decile_ret,top_decile_win,bottom_decile_win,overall_mean_ret,overall_std_ret,overall_sharpe
r_1400_1500_ema20,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1400_1500_ema60,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1400_1500_ema120,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_945_ema1,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_945_ema2,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_945_ema3,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_945_ema5,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_945_ema10,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_945_ema20,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_945_ema60,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_945_ema120,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_1000_ema1,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_1000_ema2,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_1000_ema3,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_1000_ema5,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_1000_ema10,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_1000_ema20,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_1000_ema60,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_925_1000_ema120,0,0.0,very_poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
