factor,valid_count,valid_ratio,data_quality,ic_mean,ic_std,ic_ir,ic_t_stat,ic_p_value,ic_count,rankic_mean,rankic_std,rankic_ir,rankic_t_stat,rankic_p_value,rankic_count,ic_positive_ratio,ic_negative_ratio,ic_abs_mean,ic_volatility,monthly_ic_std,rankic_positive_ratio,rankic_negative_ratio,rankic_abs_mean,rankic_volatility,long_short_ret,long_short_win,ls_t_stat,ls_p_value,monotonicity,mono_strength,g0_ret,g0_win,g0_count,g1_ret,g1_win,g1_count,g2_ret,g2_win,g2_count,g3_ret,g3_win,g3_count,g4_ret,g4_win,g4_count,decile_mono,decile_mono_strength,top_decile_ret,bottom_decile_ret,top_decile_win,bottom_decile_win,overall_mean_ret,overall_std_ret,overall_sharpe,non_st_ratio,direction,ic_ir_norm,rankic_ir_norm,rankic_abs_mean_norm,long_short_ret_norm,long_short_win_norm,monotonicity_score_norm,stability_score_norm,comprehensive_score
mean_ret_ma2,71511,0.9999720330569268,good,-0.0262991208583116,0.2028540968894958,-0.1296454966068267,4.035704323788651,5.872814596276891e-05,970.0,0.0366067084396354,0.1796215794763697,0.2037990565852434,-6.344012905536933,3.43028370544456e-10,970.0,0.4494845360824742,0.4494845360824742,0.1650226414203643,0.2028540968894958,0.0549821406602859,0.5958762886597938,0.5958762886597938,0.1456155113930779,0.1796215794763697,0.0006957505829632,0.0214313342022423,0.9307159194028716,0.3520092988183529,u_shape,0.0124387815594673,0.002810773672536,0.4676269053279261,14303.0,0.0027674955781549,0.4807019997203188,14302.0,0.0003230173897463,0.4530135645364285,14302.0,0.0013954160967841,0.4540623688994546,14302.0,0.0035065242554992,0.4890582395301684,14302.0,none,0.0,-0.0045082685537636,-0.0045409835875034,-0.4966442953020134,-0.4728010068521885,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.22048993373506678,0.6162897573985194,0.7624738143283278,0.34644080162569624,0.46015616150922733,0.001731941261633291,0.37651821764407695,0.37218746616148946
mean_ret_ma3,71511,0.9999720330569268,good,-0.0305366870015859,0.2018342763185501,-0.1512958407402038,4.70965279093871,2.843326867538231e-06,970.0,0.0370035607474607,0.1806552836603434,0.2048296623144028,-6.376094388915012,2.80712262446555e-10,970.0,0.4422680412371134,0.4422680412371134,0.1656960695981979,0.2018342763185501,0.0563133023679256,0.5948453608247424,0.5948453608247423,0.1456428109178321,0.1806552836603434,0.0033193887211382,0.043665067659406,4.398477512772472,1.0945273542990884e-05,none,0.0,0.001702029374428,0.4585372675150329,14303.0,0.0024601828772574,0.4759474199412669,14302.0,0.0008270817343145,0.456859180534191,14302.0,0.0007924089441075,0.4509159558103762,14302.0,0.005021417979151,0.5022023351744389,14302.0,none,0.0,-0.0063027739524841,-0.0015204036608338,-0.5139821029082774,-0.4571388616976646,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.17769274951253028,0.6178260090660979,0.7629088940837535,0.6601796684770872,0.6247472809233915,0.0,0.3724696346586572,0.42688913870298617
mean_ret_ma5,71511,0.9999720330569268,good,-0.0324408523738384,0.204803928732872,-0.1583995670080185,4.930782688659106,9.632283765947422e-07,970.0,0.04245134796181,0.1817415168362818,0.2335809049071131,-7.271085058226992,7.342959085995452e-13,970.0,0.4216494845360824,0.4216494845360825,0.1676454395055771,0.204803928732872,0.0622423142194747,0.6,0.6,0.147155891914461,0.1817415168362818,0.0045336261391639,0.0607947078762707,6.019654760489664,1.7722259757971446e-09,ascending,0.8043438665264178,0.0007972291787154,0.4532932456999021,14303.0,0.0031227550935,0.480562159138582,14302.0,0.0009663214441388,0.451405397846455,14302.0,0.0005859381635673,0.4451125716682981,14302.0,0.0053308554925024,0.5140879535761729,14302.0,none,0.0,-0.0067001497372984,-0.0025559137575328,-0.5310402684563759,-0.4648300936931898,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.1636505024296561,0.6606834696141053,0.787023266618801,0.8053801311769215,0.7515539939699242,0.2986522593216487,0.39271254958575763,0.5172836441507513
mean_ret_ma10,71511,0.9999720330569268,good,-0.0360273160040378,0.2058328837156295,-0.1750318706035614,5.4485261914650165,6.441801710294523e-08,970.0,0.0330289971470679,0.1761989149917119,0.187452897474548,-5.835177162664706,7.321339293553836e-09,970.0,0.4164948453608247,0.4164948453608247,0.1679579764604568,0.2058328837156295,0.0557244196534156,0.5938144329896907,0.5938144329896907,0.1412252410835028,0.1761989149917119,0.0041011529974639,0.0521248508993671,5.425555986439279,5.8319394657334725e-08,none,0.0,0.0012469656066969,0.4582575863515592,14303.0,0.0023553757928311,0.4742693329604251,14302.0,0.0019990596920251,0.460774716822822,14302.0,-0.0001464218803448,0.4407775136344567,14302.0,0.0053481184877455,0.5103824372509264,14302.0,none,0.0,-0.0066889878362417,-0.0025390128139406,-0.5248881431767338,-0.470843238707873,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.13077269888812995,0.5919236846300436,0.6925049137800253,0.7536642975616195,0.6873730741195294,0.0,0.3684210516732366,0.4273897638376577
mean_ret_ma20,71511,0.9999720330569268,good,-0.0380880385637283,0.2052547037601471,-0.1855647563934326,5.776401524181938,1.0276071674888906e-08,970.0,0.0284360307600257,0.1816352103869914,0.1565557179108612,-4.873386126037727,1.281073632228727e-06,970.0,0.4092783505154639,0.4092783505154639,0.1676852852106094,0.2052547037601471,0.0560195669531822,0.568041237113402,0.568041237113402,0.1453994162265046,0.1816352103869914,0.0025026318617165,0.0279336474967093,3.3646305571031925,0.0007676461917825,strict_ascending,1.0,0.0014896382344886,0.465039854565795,14303.0,0.0022049185354262,0.4705635575443994,14302.0,0.0015894169919192,0.4613340791497692,14302.0,0.0015269488794729,0.4545518109355335,14302.0,0.0039922702126204,0.4929735020625043,14302.0,none,0.0,-0.0050792042165994,-0.0025087185204029,-0.5078299776286354,-0.4737798909243462,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.10995188187168745,0.5458674263683175,0.7590298484326607,0.5625105700448199,0.508291263334562,0.46412403909317274,0.2672064770377319,0.42795369079597817
mean_ret_ma60,71511,0.9999720330569268,good,-0.0396962910890579,0.2051365673542022,-0.1935115307569503,6.02377477495218,2.417101993256322e-09,970.0,0.0125969336446515,0.182560461749669,0.069001433957396,-2.147929410768288,0.0319667542783134,970.0,0.4134020618556701,0.4134020618556701,0.1709890812635421,0.2051365673542022,0.0528970621526241,0.5278350515463919,0.5278350515463918,0.1445461258916306,0.182560461749669,0.0004570852033793,0.0022037626179776,0.6237714862398647,0.5327833366946173,none,0.0,0.0025673534255474,0.4795832750664243,14303.0,0.001993597485125,0.4618934414767165,14302.0,0.0015588970854878,0.4561599776255069,14302.0,0.0016589736333116,0.465039854565795,14302.0,0.0030244386289268,0.4817870376844019,14302.0,none,0.0,-0.0037175996694713,-0.0049158954061567,-0.4914709172259507,-0.4912599636414487,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.09424314466570072,0.41535639686255066,0.7454307343987451,0.31790081180858093,0.31781895409566796,0.0,0.10931174060634544,0.25035745611020355
ex_ret_ma1,71464,0.9993148098947044,good,-0.0221309475600719,0.1973401606082916,-0.1121461912989616,3.4909724861695297,0.0005029627538795,970.0,0.0498158388056217,0.1712710860869024,0.2908595954155703,-9.054099944980988,7.404502948437444e-19,970.0,0.45567010309278355,0.4556701030927835,0.1569696962833404,0.1973401606082916,0.0524177327752113,0.6443298969072164,0.6443298969072165,0.1398712466452621,0.1712710860869024,0.0021614246070384,0.0477925371488572,2.984386921844745,0.0028444816333863,none,0.0,0.001906297286041,0.4506332656916941,14293.0,0.0047702039591968,0.4948576226124676,14293.0,0.0012841196730732,0.4622865938986846,14292.0,-0.0012740909587591,0.4379853095487933,14295.0,0.0040677217766642,0.4984258028405513,14291.0,none,0.0,-0.0041454546153545,-0.0051883892156183,-0.5032880929061144,-0.4718063523156569,0.0021507730707526,0.0586326420307159,0.0366821773350238,0.8336924885256912,sell,0.2550815775636073,0.7460647956834744,0.6709259458550673,0.5217084579369949,0.655301970486682,0.0,0.5668016179588253,0.4715454392614434
ex_ret_ma2,71511,0.9999720330569268,good,-0.0274591799825429,0.2023509293794632,-0.1357007920742035,4.224197820746609,2.624018412350526e-05,970.0,0.036183321208525,0.1782271605105597,0.2030179973965371,-6.319699497731395,3.9907999805106413e-10,970.0,0.4422680412371134,0.4422680412371134,0.1643436849117279,0.2023509293794632,0.0553050749003887,0.5989690721649485,0.5989690721649484,0.1441829816474387,0.1782271605105597,0.0019076223252341,0.0344360487842712,2.548483784573238,0.0108252062206315,none,0.0,0.0019077727338299,0.4611942385680324,14303.0,0.0032506624702364,0.482939449028108,14302.0,0.0015251490985974,0.4581177457698224,14302.0,0.0003042263851966,0.4465808977765347,14302.0,0.003815395059064,0.4956302873523037,14302.0,weak_ascending,0.8888888888888888,-0.0042440071702003,-0.0044573531486094,-0.5015380313199105,-0.4735002097608726,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.20852016577005328,0.6151254872541005,0.7396432084117608,0.49135837301523533,0.5564270165521615,0.3094160260621151,0.38866396660033786,0.44709282356497637
ex_ret_ma3,71511,0.9999720330569268,good,-0.0315298698842525,0.2018475830554962,-0.1562063246965408,4.862510130644881,1.3517523173587003e-06,970.0,0.0366969924626552,0.1806937339217369,0.2030894578699096,-6.321923974001832,3.9360028643958636e-10,970.0,0.43402061855670104,0.434020618556701,0.1660280078649521,0.2018475830554962,0.0563717111945152,0.5989690721649485,0.5989690721649484,0.1455515926108667,0.1806937339217369,0.0023682517930865,0.0398895723812279,3.1346479320205627,0.0017226079730296,none,0.0,0.0016604862175881,0.4594462312963221,14303.0,0.0032796063460409,0.4791637533212138,14302.0,0.0013278166297823,0.4555306950076912,14302.0,0.0005065434961579,0.4509858761012446,14302.0,0.0040287380106747,0.4993358036775501,14302.0,none,0.0,-0.0041972091421484,-0.0030743745155632,-0.5020973154362416,-0.4648300936931898,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.1679859806405667,0.6152320083690899,0.7614551237693548,0.546441185381615,0.5967981739785115,0.0,0.38866396660033786,0.40599034627398073
ex_ret_ma5,71511,0.9999720330569268,good,-0.033099852502346,0.205031618475914,-0.1614377945661544,5.025359214686451,5.982373741667008e-07,970.0,0.0431646402809531,0.181636638102263,0.2376428056142011,-7.397527010111091,3.002388750944442e-13,970.0,0.41958762886597933,0.4195876288659794,0.1679717451333999,0.205031618475914,0.0630057826638221,0.6061855670103093,0.6061855670103092,0.1477581076837389,0.181636638102263,0.0031614687759429,0.0460421815627422,4.181609484005948,2.9045656287723748e-05,ascending,0.8139439911303882,0.0012405833695083,0.4586771080967697,14303.0,0.0029691236559301,0.4750384561599776,14302.0,0.0016028198879212,0.4579079848972172,14302.0,0.0005885852733626,0.4481191441756397,14302.0,0.0044020521454513,0.504719289659512,14302.0,none,0.0,-0.0044909850694239,-0.0035252985544502,-0.5095078299776287,-0.4746189344147671,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.157644704844431,0.6667382600720342,0.7966209388116332,0.6412953475267632,0.6423444981914173,0.3022167782072427,0.417004047498279,0.4855062263565469
ex_ret_ma10,71511,0.9999720330569268,good,-0.0358608104288578,0.2065104246139526,-0.1736513376235962,5.405551628715538,8.136619758994291e-08,970.0,0.03471728959368,0.1770323118429516,0.1961070791668717,-6.1045711493831805,1.4893291411355051e-09,970.0,0.41752577319587625,0.4175257731958763,0.1687154173851013,0.2065104246139526,0.0564121641218662,0.6020618556701032,0.6010309278350515,0.1418966644963857,0.1770323118429516,0.0014856625348329,0.0269548025325937,1.960486429851513,0.0499504955590541,none,0.0,0.0019694052170962,0.4654593763110055,14303.0,0.0030725880060344,0.4744091735421619,14302.0,0.0020077181980013,0.4610543979862956,14302.0,0.0002984517195727,0.4511257166829814,14302.0,0.0034550677519291,0.4924141788435992,14302.0,none,0.0,-0.0043687243014574,-0.0038709014188498,-0.5008389261744967,-0.4816109635016081,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.13350165894090688,0.6048238662224765,0.7032055665164515,0.4408997428516222,0.5010451034088302,0.0,0.4008097155565984,0.3693870199939093
ex_ret_ma20,71511,0.9999720330569268,good,-0.038357738405466,0.2057316899299621,-0.1864454597234726,5.8038168239513945,8.776340943580652e-09,970.0,0.0297552780359515,0.1834627034171602,0.1621870684435165,-5.048683112458393,5.312846933418443e-07,970.0,0.41030927835051545,0.4103092783505154,0.1685263812541961,0.2057316899299621,0.056523323059082,0.5690721649484536,0.5690721649484536,0.1469069390296767,0.1834627034171602,0.0016191873000934,0.0208021933510794,2.177340589974498,0.0294649586871776,strict_ascending,1.0,0.0014661144232377,0.4662284995105579,14303.0,0.0024570517707616,0.4628024052580058,14302.0,0.0022189421579241,0.4682561879457418,14302.0,0.0015758463414385,0.4601454342050063,14302.0,0.0030853017233312,0.4870306928616374,14302.0,none,0.0,-0.0036852299235761,-0.0035358385648578,-0.4939876957494407,-0.4796531953572926,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,sell,0.10821095699636336,0.5542616855905769,0.7830556385666753,0.4568668489627443,0.45549877919592463,0.46412403909317274,0.27125506002315214,0.4101844118555459
ex_ret_ma60,71511,0.9999720330569268,good,0.0390117689967155,0.2057401984930038,0.1896166652441024,5.902532448348093,4.945936362243012e-09,970.0,-0.0153963499866885,0.1852235559210954,-0.0831230666646273,-2.5875183943632902,0.009811593154695,970.0,0.5824742268041238,0.4175257731958763,0.1716786175966262,0.2057401984930038,0.054083876311779,0.4608247422680412,0.5391752577319587,0.1465033108528673,0.1852235559210954,0.0007436338346451,0.0100316772208354,1.018907991242123,0.3082566782060839,none,0.0,0.0023534998763352,0.4730476123890093,14303.0,0.0022336242254823,0.4657390574744791,14302.0,0.001627507735975,0.4565794993707174,14302.0,0.0014915417414158,0.4660187386379527,14302.0,0.0030971337109804,0.4830792896098447,14302.0,none,0.0,0.0047596092335879,0.0029278614092618,0.4922388477136065,0.4800055928411633,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,buy,0.8515894429089278,0.1885950747120181,0.7766229094246735,0.3521667578485651,0.37576717181830716,0.0,0.3238866388336148,0.3790881974735007
ret_tstat_ma1,71464,0.9993148098947044,good,0.0106787513941526,0.1438216269016266,0.0742499679327011,-2.311309781067077,0.0210248174608007,970.0,0.0162325768739364,0.1526721428485575,0.1063231089252361,-3.309707053998931,0.000968366712238,970.0,0.529896907216495,0.5298969072164949,0.1160197481513023,0.1438216269016266,0.0409165695309639,0.5360824742268041,0.5360824742268041,0.1234790268464456,0.1526721428485575,-0.0001494530588388,-0.0116140768208213,-0.2321266645973695,0.8164412972216937,none,0.0,0.0027524544857442,0.4819142237458896,14293.0,0.0015583217609673,0.4682711816973343,14293.0,0.0027735545299947,0.4687237615449202,14292.0,0.0010665787849575,0.4549779612397677,14293.0,0.0026030014269053,0.4703001469250682,14293.0,none,0.0,-0.0022835046984255,-0.0031159818172454,-0.4659297607387715,-0.491814747446481,0.0021507730707526,0.0586326420307159,0.0366821773350238,0.8336924885256912,sell,0.6235390356006216,0.47098919977053033,0.40967879795899453,0.245369991219623,0.21552872625341948,0.0,0.25910931106689206,0.34720834937568124
ret_tstat_ma2,71511,0.9999720330569268,good,0.0002561333240009,0.1574841737747192,0.0016264067962765,0.0506280329238604,0.9596323583127162,970.0,-0.009297607606921,0.1589328852418453,-0.0585002127959424,-1.821039366778834,0.0689091423969383,970.0,0.5092783505154639,0.490721649484536,0.1247678771615028,0.1574841737747192,0.0387889854609966,0.4701030927835051,0.5288659793814433,0.1256667222660172,0.1589328852418453,0.0015742820687592,0.0106609549501459,2.298203037930472,0.0215574562332998,none,0.0,0.0025302306748926,0.4729776969866461,14303.0,0.001555559458211,0.4642707313662425,14302.0,0.0016362018650397,0.4641308907845056,14302.0,0.0009767899755388,0.4594462312963221,14302.0,0.0041045127436518,0.483638651936792,14302.0,none,0.0,0.0068248193711042,0.0022376431152224,0.5065025870507621,0.4713366890380313,0.0021606641821563,0.0586283281445503,0.0368535853922367,0.8336619541049629,buy,0.47998085907904625,0.22529863577911693,0.44454467920282975,0.45149700920111796,0.380425567408466,0.0,0.03643724686878152,0.2839588975286224
