factor,direction,comprehensive_score,rankic_ir,ic_ir,long_short_ret,monotonicity,mono_strength,rankic_positive_ratio
vwap_ret_ma3,sell,0.7332651926637613,0.3034230688101229,-0.0141470693051815,0.005331567954272,strict_ascending,1.0,0.6371134020618556
vwap_ret_ma2,sell,0.71662837708102,0.2957123935486893,0.0052867955528199,0.0046062706969678,strict_ascending,1.0,0.6175257731958763
corr_mean2_ma60,sell,0.694373327932898,0.2067427869291318,0.1677469164133072,0.0040420922450721,ascending,0.9048901379835028,0.5824742268041236
cora1_ma2,sell,0.6923011236784267,0.2095485613578337,0.1207403466105461,0.0046052914112806,strict_ascending,1.0,0.5927835051546392
cora_ma3,sell,0.6915412659270396,0.2005715628124837,0.0759865567088127,0.004812981467694,strict_ascending,1.0,0.5824742268041236
cora_ma20,sell,0.6909945930062699,0.2328839845301645,0.0505462773144245,0.0045120026916265,strict_ascending,1.0,0.6020618556701032
turnover,sell,0.662410091723403,0.2557283716592844,0.0750686004757881,0.0047097713686525,strict_ascending,1.0,0.6164948453608248
lowest_ret_ma1,buy,0.6603669495112646,0.0743219078472642,0.1930288672447204,0.0047931191511452,strict_ascending,1.0,0.5298969072164949
ret_std_up_ma10,sell,0.6591868770033293,0.3273457258310047,-0.0048766382969915,0.0029600011184811,strict_ascending,1.0,0.6371134020618556
amt_skew_ma1,sell,0.6378607427818784,0.1903168398483305,0.0721575543284416,0.003512404859066,strict_ascending,1.0,0.588659793814433
amt_r_1430_ma20,sell,0.625311405690301,0.151191934419059,0.1927797794342041,0.0031439200975,strict_ascending,1.0,0.5742268041237114
cora1_ma20,sell,0.6184599591951658,0.235436534177212,0.0844210013747215,0.0046593118458986,ascending,0.9057638781418078,0.5938144329896907
vwat_ma60,sell,0.618337843601562,0.1661015335527763,0.2018997222185135,0.0028820121660828,strict_ascending,1.0,0.5721649484536083
vwap_ret_ma10,sell,0.6118438470158805,0.3056566302750451,-0.074226289987564,0.0050818216986954,ascending,0.9120298638206747,0.643298969072165
inflow_r_ma10,sell,0.6058757584544678,0.1765398195141948,0.1973812282085418,0.0034660161472857,ascending,0.7894128106599011,0.5721649484536083
range_ma1,sell,0.6056086643462528,0.2905004949275052,0.1679773330688476,,none,0.0,0.6206185567010309
inflow_r_ma3,sell,0.5969871650094094,0.1840389300872041,0.223951905965805,0.0043668113648891,none,0.0,0.5876288659793816
inflow_r_ma5,sell,0.5955958660588174,0.1953763332724359,0.2185912877321243,0.0037371348589658,none,0.0,0.5917525773195877
vwap_twap_ma1,buy,0.5903694887327401,0.3022326307776912,0.1578786224126815,0.0033011334016919,inverted_u,0.0105715934187173,0.6195876288659794
amt_peak_ma1,buy,0.5814146424174109,0.1763958883575515,0.0605012588202953,0.0039411610923707,strict_ascending,1.0,0.5773195876288659
r_925_1500_ma5,sell,0.5796390343651177,0.2027772233644921,-0.1259821653366089,0.0049108508974313,ascending,0.8718187161998336,0.5917525773195877
amt_r_1000_ma2,sell,0.5763055742702168,0.2516786698600917,0.1590930819511413,0.0034972375724464,none,0.0,0.6041237113402063
ret_std_up_ma20,sell,0.5736285061389311,0.2530791064908435,-0.0450972840189933,0.0024961053859442,strict_ascending,1.0,0.6082474226804124
corr_mean2_ma20,sell,0.5701691454266687,0.1562277494552083,0.1622300744056701,0.0024586038198322,strict_ascending,1.0,0.5577319587628866
amt_r_1000_ma1,sell,0.5648770918184125,0.2248108441735798,0.1680939793586731,0.0036028758622705,none,0.0,0.6020618556701032
cora_ma2,sell,0.5624430652546684,0.1823256084263916,0.0782855525612831,0.0036320621147751,strict_ascending,1.0,0.5608247422680412
amt_r_1430_ma10,sell,0.5503537133629093,0.1218431405647932,0.1756024360656738,0.0028090351261198,ascending,0.8842425262743564,0.5484536082474227
corr_mean2_ma1,buy,0.5494596838656248,0.0842899949029384,0.0407622121274471,0.0033670340199023,strict_ascending,1.0,0.534020618556701
vwat_ma1,buy,0.5484778667959495,0.2467842333025631,0.1284527331590652,0.003067725803703,none,0.0,0.6030927835051546
inflow_r_ma1,sell,0.5450012279359998,0.1531085792946911,0.2231537699699401,0.0033194222487509,none,0.0,0.5773195876288659
inflow_r_ma2,sell,0.5395305117860505,0.1634862360942673,0.2188784331083297,0.0030541089363396,none,0.0,0.554639175257732
amt_std_ma1,sell,0.539254526334142,0.1704240166636156,0.088912583887577,0.0030685032252222,ascending,0.8263260051761254,0.5597938144329897
price_beta_ma3,sell,0.5365012817319084,0.1071604559681194,0.0072800181806087,0.0020847376435995,strict_ascending,1.0,0.5556701030927835
copa_ma1,buy,0.5360324500887392,0.2724963587075537,0.1796837896108627,0.0019019054016098,inverted_u,0.0127842873334884,0.5969072164948453
r_1430_1500_ma2,sell,0.5342363051971856,0.1175034794852053,0.1115651503205299,0.0025573968887329,ascending,0.7808355412456182,0.5422680412371135
vwap_twap_ma2,buy,0.532269379185803,0.261688569005789,0.1385231465101242,0.0025683820713311,inverted_u,0.0103510674089193,0.5979381443298969
ret_std_down_ma2,sell,0.5321112573009656,0.2705839189759798,0.1050821915268898,0.0022052351851016,none,0.0,0.609278350515464
amt_r_1000_ma3,sell,0.5307979520613871,0.2214942906066191,0.1051262319087982,0.0016936130123212,ascending,0.8096789902447601,0.5979381443298969
r_1445_1500_ma10,sell,0.5299441661780002,0.124495730080554,0.0872195214033126,0.0038476106710731,strict_ascending,1.0,0.5536082474226804
r_925_1500_ma10,sell,0.5296501279132639,0.166531587830649,-0.1621889024972915,0.0044585322029888,ascending,0.8278626625428751,0.5752577319587628
r_1445_1500_ma3,sell,0.5284550679396463,0.1631000917009357,0.1133480668067932,0.0049570729024708,none,0.0,0.5690721649484536
price_beta_ma5,sell,0.5270370905389913,0.1020981574818631,-0.0110901957377791,0.0033695686142891,ascending,0.9131638850303756,0.5402061855670104
